Symbol,MeanLogReturn,StdLogReturn,MinLogReturn,MaxLogReturn
BFNH,-0.0015950168577628051,0.03952591761942167,-0.0923732937405966,0.0700285992878746
BFOR,0.0009342387277557106,0.007626559535682628,-0.0154462184192209,0.0134143721578499
BFRG,0.030740847725112052,0.12531790840103257,-0.1732717029679419,0.3164066804854621
BFRI,-0.038007088941306943,0.052036261697378766,-0.0986305805507445,0.1218897843143961
BFS,-0.0002279324162223103,0.013504650464425451,-0.0237504500912481,0.0247737532087148
BFST,-0.001746544495503421,0.016608221770960233,-0.0327626616967567,0.0377241933302204
BFYW,-0.042868844195269325,0.20675903115564945,-0.7621400963955913,0.2231436178372509
BFZ,-0.0010237311554426893,0.006567335348506613,-0.0163303658660241,0.0103449100615829
BG,-0.006153752855954447,0.014342145479019193,-0.0432165807250819,0.0158715542451284
BGACF,-0.02186923300150147,0.14061448870855853,-0.5810299254895887,0.1655144984610607
BGADF,-0.042026718311945856,0.5861887099304905,-1.2909841643824278,1.3133875629199625
BGAOY,0.0030559898561791786,0.014802692764817316,-0.0102041602440134,0.0631789029437285
BGAVF,-0.02378033362847538,0.12880112575523095,-0.3401456171231717,0.2047076760872648
BGB,0.0015588852651636685,0.004034582332451158,-0.0079894033355074,0.0077552477242733
BGC,0.0021424931271035418,0.015562124795284994,-0.0320259955937404,0.0308147331992949
BGDFF,-0.012717794333765681,0.06064076125180574,-0.2623641880512799,0.020726095709732
BGFV,-0.007940066928964363,0.03225947365486791,-0.0821281854486531,0.049291245848773
BGH,0.0017207635605382314,0.003782241643915035,-0.0051151480760118,0.0086768354994008
BGI,-0.008000851334920647,0.031683468326109764,-0.07232070593657,0.0283038615871117
BGIG,0.0009049995788174895,0.004874101403040557,-0.0063317205074709,0.0133371441442536
BGLC,-0.004965938142855732,0.06144977335377569,-0.1100998494243163,0.1290677591471763
BGLD,-0.0004498448810923685,0.006820022075559384,-0.0138307868770682,0.0111014325697388
BGM,-0.004178628711788609,0.047353016105756936,-0.0741079918036052,0.0870113769896297
BGNE,-0.006971927775551101,0.031182229925213144,-0.060532092005085,0.0562739210901918
BGOPF,-0.03858315015113306,0.16818005243224507,-0.7330798528715281,0.0
BGR,-0.0012682929656597946,0.011490573281820675,-0.029510309309905,0.0164342862047583
BGRN,-2.2401695952131503e-05,0.002831940506665606,-0.006802740702696,0.0040698059576545
BGS,-0.003922230604248589,0.02215687087558148,-0.0345856388056399,0.0432713061535431
BGSF,0.005924663269955142,0.016751966599064607,-0.0320440295100457,0.0341471277912426
BGT,0.0005546918851016052,0.00685132923001482,-0.0180926202650888,0.0098120072055865
BGTTF,-0.03401387759398002,0.5201057660348379,-1.9271975197476847,1.0460498871760535
BGUUF,-8.779069506064737e-05,0.02668364186840354,-0.0800426933454963,0.0800426933454963
BGX,0.0020185004785665157,0.003977202224910958,-0.0069747381130053,0.0085764147287636
BGXX,-0.023005033283699322,0.05402406496215446,-0.163812548344427,0.0627163927617045
BGY,0.0005980919933860052,0.009771410407141468,-0.0263669407920287,0.0169654728189523
BH,-0.0006154663299472337,0.015648463483123994,-0.0272951450824024,0.0302511875835644
BHAC,0.00010082430981981052,0.0014582767403399297,-0.0038424601173921,0.0027871927882472
BHAT,0.0005185414308334315,0.02976007549135023,-0.0588404449767958,0.0588404449767958
BHB,-0.0032209057196523685,0.01636540662433216,-0.0331758733080247,0.0234371508937876
BHC,0.00270302534061961,0.01894945595654456,-0.0289875101596852,0.0512932760241167
BHDB,0.011744397437589985,0.04272747677627891,0.0,0.1843235288858925
BHE,0.0007471020216086215,0.015136470353109272,-0.0342143467182003,0.0330669219239781
BHF,0.0005253772215865163,0.017151783104703076,-0.0327898203520118,0.0318570787184748
BHFAL,0.003149436092370963,0.008208958849247163,-0.0101758192820052,0.0206736775974883
BHFAM,0.003859874146387963,0.011616880729781759,-0.012075088985769,0.027536190380673
BHFAN,0.005373570904295016,0.013173871308174594,-0.0214352475307462,0.0253563289266111
BHFAO,0.0057305285920461685,0.0066520483034705835,-0.0065977640169246,0.0202846714854416
BHFAP,0.0060000383748732,0.008158270615112598,-0.0059867122025876,0.0208775843564408
BHHOF,-0.006234114398665126,0.02717387466625312,-0.1184481735746374,0.0
BHIL,0.004696373360687247,0.07706322653970679,-0.0902468448061255,0.2462511483288431
BHK,0.0003394064872496158,0.00638115318024936,-0.0121100793268244,0.0111318295358143
BHKLY,-0.004625598121772611,0.016833461061516578,-0.0323973384605048,0.0313336588211024
BHLB,0.00048547524175300013,0.017358747981147643,-0.0294379111556732,0.0410931342378477
BHLIF,-0.017289690785315625,0.053192723209783056,-0.2006707330913469,0.0
BHLL,-0.01459004226757575,0.07979316631200196,-0.1971680317302259,0.1690764019355009
BHM,-0.0022705870187327685,0.02167838966529274,-0.0380566132467982,0.0441377896364653
BHNGF,0.028468582828268217,0.15537624053208643,-0.3101549596615017,0.3677247801253173
BHOOY,-0.0023988203050600457,0.054179260846502236,-0.1337011259788494,0.167880847779614
BHP,-0.004987659785949279,0.011334547776867994,-0.0278908587063924,0.0194372833777854
BHPA,0.02473703679446989,0.12000562670246573,-0.1177829451111333,0.4700036990949278
BHPLF,-0.005632382113024348,0.03304366965200157,-0.0566614432940807,0.0723830596269813
BHR,-0.001500796979558684,0.027890304595563895,-0.0387144764417284,0.0581818994921857
BHRB,-0.0013161758534102105,0.021857228506793516,-0.0418116983768726,0.0426242001056926
BHSIF,-2.921639538487254e-18,0.17162882167227472,-0.2876820724517809,0.2876820724517808
BHTLF,0.003954853257747411,0.01529303283903179,0.0,0.0665864792754832
BHV,-0.0014061781461528421,0.0065849766282994986,-0.0102279468264,0.0140648937475684
BHVN,0.0023084507742860264,0.042066178026674624,-0.0577309239348725,0.099803924963082
BHYB,0.0004333852361760263,0.0029154175710266773,-0.0058000837243271,0.0065397972391592
BIAF,-0.0028802588761233897,0.040299481426497724,-0.1060182404834026,0.0522995264113225
BIB,-0.0006427285042676522,0.018687789928869256,-0.0241599586818257,0.0459140830651409
BIBL,0.001485424300697875,0.008299820718232964,-0.0160142961799556,0.0172241936473398
BICB,0.0010632985845089257,0.1348377387535632,-0.2876821112568872,0.4462871055388027
BICEY,0.0010548671043170738,0.007254584540570283,-0.0116000693984128,0.0164236651116779
BICX,0.002952078362169163,0.038402295981370994,-0.0731221952638598,0.1087331727993639
BIDCF,0.010335435230747314,0.19609525977505218,-0.3007541480776818,0.6292956587734518
BIDU,-0.00479819999330248,0.030102779531387312,-0.072548688247107,0.0722367125832006
BIEI,0.005016322467803687,0.08630248914749167,-0.1670540928040978,0.1670540928040978
BIEL,-0.009595871410208148,0.20024138137028746,-0.4054651808677398,0.4054651808677396
BIGC,-0.0020876473943672786,0.024983793351653086,-0.0512932720793796,0.0519596906434027
BIGGQ,-0.01463854881910381,0.03501309920408866,-0.0738748659656575,0.0333869846214073
BIGZ,0.003465252180388879,0.011834771851575705,-0.0238942638637674,0.0264087701725488
BIIB,-0.004220636574735663,0.010677784629486512,-0.0280011472972456,0.0135207054039248
BIL,0.00021262711033895266,0.00015212710203250956,0.0001089141493194,0.0005461891482987
BILD,-0.001209358717868158,0.0066171071489544405,-0.0157722228138944,0.009192915159647
BILI,-0.013519312357910826,0.033340919289982306,-0.058982745872596,0.0872827990745545
BILL,0.0006636567820858154,0.025490921148228898,-0.0363916499334444,0.0718390598586313
BILS,0.00019608167508480001,0.00018522766564254707,0.0,0.0006033543739021
BILZ,0.00021916714847751794,0.00016461795006757177,0.0,0.00059403525107
BIMI,0.016153339217194296,0.06652879095679888,-0.0756027304417365,0.1808189462891045
BIMO,0.07717563284306865,0.3364007844667349,0.0,1.4663370240183042
BIMT,0.010290689224834263,0.020487718342268212,0.0,0.0504308715970126
BINC,0.0003829977927347421,0.0016265077928194797,-0.0021164147117002,0.0028711193796192
BINP,-0.018772366366770054,0.3557325251549188,-0.6733445719632621,1.0498221415285764
BINV,0.0003816258528918421,0.00668821535145077,-0.0166476641162965,0.0085922562058931
BIO,0.0007045298653225628,0.01671463842133419,-0.0358484673152481,0.0395185860859311
BIOAF,0.0032565997785230475,0.1457483625175327,-0.3093212101741964,0.3285040617980216
BIOCQ,-0.3276604232397446,2.516987424124474,-6.68461173057831,6.68461173057831
BIOF,0.02112847260663301,0.09859575645281561,-0.1625189338804692,0.3364722259775264
BIOGY,0.0008819646754399153,0.017323007641462804,-0.0331681716795957,0.0641413965208348
BIOIF,0.039228053000979556,0.1709911187831273,0.0,0.7453330070186115
BIOLQ,-0.01610690683426074,0.04614489658194232,-0.1460926067937364,0.0459850691194163
BIOQ,0.006199107139809658,0.04989528485764548,-0.0800427076735363,0.1978257433299198
BIOR,-0.017157942703076596,0.05375026569529836,-0.1369658900703806,0.0815027752562551
BIOVF,0.0014826777350892685,0.004622683819794936,0.0,0.0179334821473665
BIOX,-0.0007785871100168578,0.01565196492407162,-0.032284574261365,0.0281291767106782
BIOYF,-0.004497117491160247,0.01497480933996018,-0.0455626108184852,0.0189578958923641
BIP,0.001402256535474905,0.015218330468336788,-0.0190107310857326,0.0305244827284671
BIPC,0.0006965301369397533,0.020542155213308985,-0.0325516317018168,0.04253558702614
BIPH,0.005248342209112727,0.011463074993949747,-0.015210474357915,0.0275632190595986
BIPI,0.0035933661947721105,0.011794636418578867,-0.013644315257539,0.030881340711201
BIRD,-0.013284941886581221,0.04531392627053497,-0.0837698475176123,0.0689928520242105
BIRDF,0.003654129631319431,0.017897447089591137,-0.0387645982722915,0.0330448097327865
BIREF,-0.005600233196681258,0.03425400663501231,-0.0913087377919065,0.0495597504880587
BIRK,0.0001331310403351208,0.03030823143634096,-0.0803762440064916,0.0398156740720274
